,Datetime,WaterTemperature,DissolvedOxygen,device,site,weather_temperature,dewpoint,humidity,windspeed,winddirection
0,2020-06-15 09:00:00,22.81,98.2,device 1,site A,23.2,11.9,49,41.0,300
1,2020-06-15 11:00:00,22.91,98.46,device 1,site A,26.0,12.1,42,38.9,309
2,2020-06-15 12:00:00,22.91,,device 1,site A,26.1,11.4,40,37.0,310
3,2020-06-15 14:00:00,23.365000000000002,101.58500000000001,device 1,site A,27.0,9.8,34,37.0,307
4,2020-06-15 16:00:00,23.47,,device 1,site A,27.0,9.8,34,33.3,308
5,2020-06-15 18:00:00,23.47,,device 1,site A,26.3,11.2,39,22.0,330
6,2020-06-17 12:00:00,16.823333333333334,72.37333333333333,device 1,site A,24.9,11.1,42,22.0,270
7,2020-06-17 12:00:00,16.823333333333334,66.56333333333333,device 2,site A,24.9,11.1,42,22.0,270
8,2020-06-17 13:00:00,16.83,77.05333333333334,device 1,site A,25.0,11.9,44,25.9,273
9,2020-06-17 13:00:00,16.83,68.32,device 2,site A,25.0,11.9,44,25.9,273
10,2020-06-17 14:00:00,16.843333333333334,80.09333333333333,device 1,site A,25.0,11.9,44,25.9,265
11,2020-06-17 14:00:00,16.836666666666666,67.10333333333334,device 2,site A,25.0,11.9,44,25.9,265
12,2020-06-17 15:00:00,16.83666666666667,86.38333333333333,device 1,site A,23.9,10.9,44,35.0,240
13,2020-06-17 15:00:00,16.85,64.57666666666667,device 2,site A,23.9,10.9,44,35.0,240
14,2020-06-17 16:00:00,16.833333333333332,93.31666666666666,device 1,site A,23.0,11.1,47,25.9,242
15,2020-06-17 16:00:00,16.846666666666668,66.57666666666667,device 2,site A,23.0,11.1,47,25.9,242
16,2020-06-17 17:00:00,16.83,98.345,device 1,site A,23.0,12.0,50,25.9,244
17,2020-06-17 17:00:00,16.843333333333334,67.79666666666667,device 2,site A,23.0,12.0,50,25.9,244
18,2020-06-17 18:00:00,16.82,99.41666666666667,device 1,site A,22.4,12.4,53,39.0,250
19,2020-06-17 18:00:00,16.83,68.38,device 2,site A,22.4,12.4,53,39.0,250
20,2020-06-17 19:00:00,16.813333333333333,98.49000000000001,device 1,site A,20.0,15.0,73,22.2,248
21,2020-06-17 19:00:00,16.823333333333334,69.30666666666667,device 2,site A,20.0,15.0,73,22.2,248
22,2020-06-17 20:00:00,16.75,96.76333333333332,device 1,site A,20.0,15.0,73,20.4,252
23,2020-06-17 20:00:00,16.79,69.95,device 2,site A,20.0,15.0,73,20.4,252
24,2020-06-17 21:00:00,16.673333333333336,94.09666666666668,device 1,site A,19.1,15.0,77,33.0,250
25,2020-06-17 21:00:00,16.74,69.96666666666668,device 2,site A,19.1,15.0,77,33.0,250
26,2020-06-17 22:00:00,16.563333333333333,94.27666666666666,device 1,site A,19.0,15.1,78,20.4,253
27,2020-06-17 22:00:00,16.68,68.3,device 2,site A,19.0,15.1,78,20.4,253
28,2020-06-17 23:00:00,16.53,91.435,device 1,site A,19.0,12.0,64,18.5,261
29,2020-06-17 23:00:00,16.650000000000002,66.51333333333332,device 2,site A,19.0,12.0,64,18.5,261
30,2020-06-18 00:00:00,16.49,90.93333333333334,device 1,site A,18.1,11.4,65,15.0,310
31,2020-06-18 00:00:00,16.536666666666665,69.51666666666667,device 2,site A,18.1,11.4,65,15.0,310
32,2020-06-18 01:00:00,16.463333333333335,89.80333333333334,device 1,site A,18.0,11.1,64,14.8,267
33,2020-06-18 01:00:00,16.566666666666666,67.86666666666666,device 2,site A,18.0,11.1,64,14.8,267
34,2020-06-18 02:00:00,16.466666666666665,81.80333333333334,device 1,site A,17.0,11.1,68,13.0,272
